customer_id,name,gender,age,city,country,signup_date
C1000,Anay Shanker,M,54,Jaipur,India,05-10-2024
C1001,Nirvaan Choudhury,O,25,Delhi,India,26-10-2024
C1002,Sara Behl,F,24,Ahmedabad,India,29-08-2025
C1003,Kiara Kakar,F,31,Pune,India,14-05-2025
C1004,Aniruddh Batra,M,20,Kolkata,India,01-02-2024
C1005,Mehul Krishnan,M,33,Bengaluru,India,10-05-2024
C1006,Jhanvi Chaudhary,M,36,Bengaluru,India,03-03-2024
C1007,Madhup Kapur,F,35,Mumbai,India,06-04-2025
C1008,Zoya Virk,F,33,Chennai,India,23-01-2025
C1009,Tara Swaminathan,F,25,Jaipur,India,24-07-2025
C1010,Rasha Kakar,M,50,Kolkata,India,01-07-2024
C1011,Ranbir Brahmbhatt,O,29,Kolkata,India,03-07-2025
C1012,Tarini Ganguly,F,28,Pune,India,26-05-2024
C1013,Divij Gupta,M,22,Delhi,India,23-03-2024
C1014,Taimur Vaidya,M,44,Chennai,India,25-12-2023
C1015,Lavanya Deo,M,29,Hyderabad,India,06-09-2024
C1016,Samiha Karpe,M,34,Kolkata,India,01-08-2024
C1017,Uthkarsh Baral,F,23,Ahmedabad,India,10-03-2024
C1018,Mishti Ranganathan,M,50,Hyderabad,India,21-08-2024
C1019,Kashvi Char,M,22,Mumbai,India,31-08-2025
C1020,Azad Sahota,F,45,Delhi,India,09-08-2024
C1021,Trisha Dhillon,M,31,Delhi,India,30-07-2025
C1022,Mehul Verma,M,22,Jaipur,India,06-09-2025
C1023,Vaibhav Dewan,M,50,Kolkata,India,06-01-2025
C1024,Myra Tiwari,F,58,Pune,India,12-04-2024
C1025,Ishaan Goyal,F,36,Kochi,India,06-11-2023
C1026,Lakshay Sampath,M,39,Kochi,India,07-11-2023
C1027,Rati Sanghvi,F,22,Bengaluru,India,07-10-2025
C1028,Mahika Ravi,F,19,Ahmedabad,India,27-12-2024
C1029,Hazel Sethi,M,47,Hyderabad,India,06-03-2025
C1030,Ishaan Kashyap,F,56,Mumbai,India,07-02-2025
C1031,Purab Reddy,M,21,Bengaluru,India,18-02-2025
C1032,Piya Gaba,M,50,Delhi,India,15-04-2024
C1033,Manikya Tara,O,30,Hyderabad,India,24-09-2025
C1034,Zara Dugar,O,37,Chennai,India,29-12-2023
C1035,Priyansh Bali,F,24,Kolkata,India,14-10-2024
C1036,Jiya Vora,M,32,Mumbai,India,22-03-2024
C1037,Lakshit Sagar,M,40,Chennai,India,11-05-2024
C1038,Vivaan Wagle,F,31,Pune,India,17-04-2025
C1039,Hridaan Deo,M,40,Kolkata,India,12-08-2025
C1040,Nishith Sharma,M,36,Hyderabad,India,29-02-2024
C1041,Siya Master,F,46,Kolkata,India,28-11-2023
C1042,Keya Iyengar,M,37,Bengaluru,India,27-08-2024
C1043,Madhup Biswas,O,46,Jaipur,India,12-02-2025
C1044,Divij Shroff,M,41,Bengaluru,India,18-09-2024
C1045,Faiyaz Bose,F,35,Pune,India,29-01-2025
C1046,Vritika Sangha,M,27,Ahmedabad,India,10-05-2024
C1047,Kimaya Balay,F,58,Chennai,India,13-02-2024
C1048,Vaibhav Raju,F,25,Bengaluru,India,29-12-2023
C1049,Eva Dass,M,43,Jaipur,India,01-08-2024
C1050,Pihu Sen,O,46,Ahmedabad,India,01-03-2024
C1051,Pihu Wali,F,27,Bengaluru,India,03-01-2025
C1052,Tiya Rege,O,34,Delhi,India,20-01-2024
C1053,Faiyaz Din,F,19,Jaipur,India,31-10-2023
C1054,Indranil Karan,F,23,Chennai,India,01-05-2025
C1055,Saira Vora,O,22,Mumbai,India,02-12-2024
C1056,Damini Singh,M,45,Kochi,India,22-09-2024
C1057,Dishani Bera,M,58,Ahmedabad,India,12-06-2025
C1058,Navya Kulkarni,M,22,Delhi,India,04-10-2025
C1059,Indrans Grover,M,35,Mumbai,India,11-10-2025
C1060,Hrishita Sood,M,43,Hyderabad,India,07-10-2024
C1061,Kismat Edwin,M,37,Jaipur,India,24-07-2025
C1062,Advik Bhalla,F,58,Delhi,India,27-03-2025
C1063,Zara Dube,M,44,Kolkata,India,07-11-2024
C1064,Bhavin Dara,M,29,Hyderabad,India,21-01-2024
C1065,Dharmajan Setty,F,24,Hyderabad,India,12-04-2024
C1066,Darshit Sidhu,M,20,Ahmedabad,India,27-04-2025
C1067,Gokul Sahni,F,27,Jaipur,India,26-03-2024
C1068,Ira Butala,M,51,Delhi,India,17-03-2024
C1069,Eva Viswanathan,O,42,Pune,India,20-08-2025
C1070,Lakshit Madan,F,52,Delhi,India,13-07-2025
